en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
Remark;Забележка;Poznámka;Bemærkning;Bemerkung;Παρατήρηση;Observación;Märkus;Huomautus;Remarque;Napomena;Megjegyzés;Osservazione;Pastaba;Piezīme;Rimarka;Opmerking;Uwagi;Observação;Observație;Poznámka;Opomba;Anmärkning;Merknad;Athugasemd
This substance has been listed as SVHC (substance of very high concern) in the Candidate List according to Regulation (EC) No 1907/2006;Това вещество е включено в списъка на кандидатите за SVHC (вещество, предизвикващо сериозно безпокойство) съгласно Регламент (ЕО) № 1907/2006;Tato látka byla zařazena jako SVHC (látka vzbuzující velmi velké obavy) na Kandidátní seznam podle nařízení (ES) č. 1907/2006;Dette stof er opført som SVHC (særlig problematisk stof) på kandidatlisten i henhold til forordning (EF) nr. 1907/2006;Diese Substanz wurde als SVHC (besonders besorgniserregender Stoff) in der Kandidatenliste gemäß Verordnung (EG) Nr. 1907/2006 aufgeführt.;Η ουσία αυτή έχει καταχωρηθεί ως SVHC (ουσία πολύ υψηλής ανησυχίας) στον Κατάλογο Υποψηφίων σύμφωνα με τον Κανονισμό (ΕΚ) αριθ. 1907/2006;Esta sustancia ha sido incluida como SVHC (sustancia extremadamente preocupante) en la Lista de Candidatos según el Reglamento (CE) n.º 1907/2006;See aine on loetletud kandidaatainete nimekirjas kui SVHC (väga ohtlik aine) vastavalt määrusele (EÜ) nr 1907/2006;Tämä aine on lueteltu ehdokasluettelossa erittäin huolta aiheuttavana aineena (SVHC) asetuksen (EY) N:o 1907/2006 mukaisesti;Cette substance a été inscrite comme SVHC (substance extrêmement préoccupante) sur la liste des candidats conformément au règlement (CE) n° 1907/2006;Ova tvar je navedena kao SVHC (tvar koja izaziva vrlo veliku zabrinutost) na Popisu kandidata prema Uredbi (EZ) br. 1907/2006;Ezt az anyagot a 1907/2006/EK rendelet szerint a Jelöltlistán szereplő, különös aggodalomra okot adó anyagként (SVHC) sorolták be.;Questa sostanza è stata elencata come SVHC (sostanza estremamente preoccupante) nella lista delle sostanze candidate secondo il Regolamento (CE) n. 1907/2006;Ši medžiaga įtraukta į Kandidatų sąrašą kaip labai didelį susirūpinimą kelianti medžiaga (SVHC) pagal Reglamentą (EB) Nr. 1907/2006;Šī viela ir iekļauta kandidātu sarakstā kā SVHC (ļoti augstas bažas izraisoša viela) saskaņā ar Regulu (EK) Nr. 1907/2006;Din is-sustanza ġiet elenkata bħala SVHC (sustanza ta' tħassib għoli ħafna) fil-Lista tal-Kandidati skont ir-Regolament (KE) Nru 1907/2006;Deze stof is opgenomen als ZZS (zeer zorgwekkende stof) op de Kandidatenlijst volgens Verordening (EG) nr. 1907/2006;Substancja ta została wymieniona jako SVHC (substancja wzbudzająca szczególnie duże obawy) na liście kandydackiej zgodnie z rozporządzeniem (WE) nr 1907/2006;Esta substância foi listada como SVHC (substância de elevada preocupação) na Lista de Candidatos de acordo com o Regulamento (CE) n.º 1907/2006;Această substanță a fost listată ca SVHC (substanță de mare îngrijorare) în Lista Candidat conform Regulamentului (CE) nr. 1907/2006;Táto látka bola uvedená ako SVHC (látka vzbudzujúca veľmi veľké obavy) na zozname kandidátov podľa nariadenia (ES) č. 1907/2006;Ta snov je navedena kot SVHC (snov, ki vzbuja veliko zaskrbljenost) na seznamu kandidatov v skladu z Uredbo (ES) št. 1907/2006;Ämnet har listats som SVHC (ämne med mycket hög oro) i kandidatförteckningen enligt förordning (EG) nr 1907/2006;Dette stoffet er oppført som SVHC (stoff med svært høy bekymring) på kandidatlisten i henhold til forordning (EF) nr. 1907/2006;Þessi efni hefur verið skráð sem SVHC (efni sem vekur mikla áhyggjur) á frambjóðendalistanum samkvæmt reglugerð (EB) nr. 1907/2006
This substance is identified as SVHC (substance of very high concern) and is subject to authorisation according to Annex XIV of REACH.;Това вещество е идентифицирано като SVHC (вещество, предизвикващо сериозно безпокойство) и подлежи на разрешаване съгласно Приложение XIV на REACH.;Tato látka je identifikována jako SVHC (látka vzbuzující velmi velké obavy) a podléhá povolení podle přílohy XIV nařízení REACH.;Dette stof er identificeret som SVHC (særlig problematisk stof) og er underlagt godkendelse i henhold til bilag XIV i REACH.;Diese Substanz ist als SVHC (besonders besorgniserregender Stoff) identifiziert und unterliegt der Zulassung gemäß Anhang XIV der REACH-Verordnung.;Η ουσία αυτή έχει αναγνωριστεί ως SVHC (ουσία πολύ υψηλής ανησυχίας) και υπόκειται σε αδειοδότηση σύμφωνα με το Παράρτημα XIV του REACH.;Esta sustancia está identificada como SVHC (sustancia extremadamente preocupante) y está sujeta a autorización según el Anexo XIV de REACH.;See aine on tuvastatud kui SVHC (väga ohtlik aine) ja kuulub REACH määruse XIV lisa kohaselt autoriseerimisele.;Tämä aine on tunnistettu erittäin huolta aiheuttavana aineena (SVHC) ja se on luvanvarainen REACH-asetuksen liitteen XIV mukaisesti.;Cette substance est identifiée comme SVHC (substance extrêmement préoccupante) et est soumise à autorisation selon l'annexe XIV de REACH.;Ova tvar je identificirana kao SVHC (tvar koja izaziva vrlo veliku zabrinutost) i podliježe autorizaciji prema Prilogu XIV REACH-a.;Ezt az anyagot különös aggodalomra okot adó anyagként (SVHC) azonosították, és a REACH XIV. melléklete szerint engedélyezés alá esik.;Questa sostanza è identificata come SVHC (sostanza estremamente preoccupante) ed è soggetta ad autorizzazione secondo l'Allegato XIV del REACH.;Ši medžiaga identifikuota kaip labai didelį susirūpinimą kelianti medžiaga (SVHC) ir jai taikomas leidimas pagal REACH XIV priedą.;Šī viela ir identificēta kā SVHC (ļoti augstas bažas izraisoša viela) un ir pakļauta atļaujas saņemšanai saskaņā ar REACH XIV pielikumu.;Din is-sustanza hija identifikata bħala SVHC (sustanza ta' tħassib għoli ħafna) u hija suġġetta għal awtorizzazzjoni skont l-Anness XIV ta' REACH.;Deze stof is geïdentificeerd als ZZS (zeer zorgwekkende stof) en is onderworpen aan autorisatie volgens Bijlage XIV van REACH.;Substancja ta jest zidentyfikowana jako SVHC (substancja wzbudzająca szczególnie duże obawy) i podlega autoryzacji zgodnie z załącznikiem XIV do REACH.;Esta substância é identificada como SVHC (substância de elevada preocupação) e está sujeita a autorização de acordo com o Anexo XIV do REACH.;Această substanță este identificată ca SVHC (substanță de mare îngrijorare) și este supusă autorizării conform Anexei XIV a REACH.;Táto látka je identifikovaná ako SVHC (látka vzbudzujúca veľmi veľké obavy) a podlieha autorizácii podľa prílohy XIV nariadenia REACH.;Ta snov je identificirana kot SVHC (snov, ki vzbuja veliko zaskrbljenost) in je predmet odobritve v skladu s Prilogo XIV REACH.;Ämnet identifieras som SVHC (ämne med mycket hög oro) och är föremål för tillstånd enligt bilaga XIV till REACH.;Dette stoffet er identifisert som SVHC (stoff med svært høy bekymring) og er underlagt autorisasjon i henhold til vedlegg XIV til REACH.;Þetta efni er skilgreint sem SVHC (efni sem vekur mikla áhyggjur) og er háð leyfisveitingu samkvæmt viðauka XIV í REACH.
Not classified vPvB substance.;Не е класифицирано като vPvB вещество.;Neklasifikovaná látka vPvB.;Ikke klassificeret vPvB-stof.;Nicht als vPvB-Stoff klassifiziert.;Μη ταξινομημένη ουσία vPvB.;Sustancia no clasificada como vPvB.;Ei ole klassifitseeritud vPvB ainena.;Ei luokiteltu vPvB-aineeksi.;Substance non classée vPvB.;Nije klasificirana kao vPvB tvar.;Nem besorolt vPvB anyag.;Sostanza non classificata come vPvB.;Nepriskirta vPvB medžiaga.;Nav klasificēta kā vPvB viela.;Mhux klassifikata bħala sustanza vPvB.;Niet geclassificeerd als vPvB-stof.;Nie sklasyfikowana jako substancja vPvB.;Substância não classificada como vPvB.;Substanța nu este clasificată ca substanță vPvB.;Nie je klasifikovaná ako látka vPvB.;Ni klasificirana kot vPvB snov.;Ej klassificerat vPvB-ämne.;Ikke klassifisert som vPvB-stoff.;Ekki flokkað vPvB efni.
The substance is an endocrine disruptor.;Веществото е ендокринен разрушител.;Látka je endokrinní disruptor.;Stoffet er en hormonforstyrrende.;Die Substanz ist ein endokriner Disruptor.;Η ουσία είναι ενδοκρινικός διαταράκτης.;La sustancia es un disruptor endocrino.;Aine on endokriinsüsteemi kahjustav.;Aine on hormonitoimintaa häiritsevä.;La substance est un perturbateur endocrinien.;Tvar je endokrini disruptor.;Az anyag endokrin károsító.;La sostanza è un distruttore endocrino.;Medžiaga yra endokrininę sistemą ardanti medžiaga.;Viela ir endokrīnā sistēmas traucētāja.;Is-sustanza hija disruptur endokrinali.;De stof is een hormoonontregelaar.;Substancja jest zaburzaczem endokrynnym.;A substância é um desregulador endócrino.;Substanța este un perturbator endocrin.;Látka je endokrinný disruptor.;Snov je endokrini motilec.;Ämnet är en hormonstörande substans.;Stoffet er en hormonforstyrrende.;Efnið er innkirtlatruflandi.
This substance is phototoxic.;Това вещество е фототоксично.;Tato látka je fototoxická.;Dette stof er fototoksisk.;Diese Substanz ist phototoxisch.;Η ουσία αυτή είναι φωτοτοξική.;Esta sustancia es fototóxica.;See aine on fototoksiline.;Tämä aine on fototoksinen.;Cette substance est phototoxique.;Ova tvar je fototoksična.;Ez az anyag fototoxikus.;Questa sostanza è fototossica.;Ši medžiaga yra fototoksiška.;Šī viela ir fototoksiska.;Din is-sustanza hija fototossika.;Deze stof is fototoxisch.;Substancja ta jest fototoksyczna.;Esta substância é fototóxica.;Această substanță este fototoxică.;Táto látka je fototoxická.;Ta snov je fototoksična.;Ämnet är fototoxiskt.;Dette stoffet er fototoksisk.;Þetta efni er ljóseitrað.
This substance is a persistent organic pollutant (POP) according to Regulation (EC) 2019/1021 [POP Regulation].;Това вещество е устойчив органичен замърсител (POP) съгласно Регламент (ЕС) 2019/1021 [POP Регламент].;Tato látka je perzistentní organický polutant (POP) podle nařízení (ES) 2019/1021 [nařízení o POP].;Dette stof er en persistent organisk forurenende (POP) i henhold til forordning (EF) 2019/1021 [POP-forordningen].;Diese Substanz ist ein persistenter organischer Schadstoff (POP) gemäß Verordnung (EG) 2019/1021 [POP-Verordnung].;Η ουσία αυτή είναι επίμονος οργανικός ρύπος (POP) σύμφωνα με τον Κανονισμό (ΕΚ) 2019/1021 [Κανονισμός POP].;Esta sustancia es un contaminante orgánico persistente (COP) según el Reglamento (CE) 2019/1021 [Reglamento COP].;See aine on püsiv orgaaniline saasteaine (POP) vastavalt määrusele (EÜ) 2019/1021 [POP määrus].;Tämä aine on pysyvä orgaaninen saastuttaja (POP) asetuksen (EU) 2019/1021 [POP-asetus] mukaisesti.;Cette substance est un polluant organique persistant (POP) conformément au règlement (CE) 2019/1021 [règlement POP].;Ova tvar je postojani organski zagađivač (POP) prema Uredbi (EZ) 2019/1021 [POP Uredba].;Ez az anyag tartós szerves szennyező anyag (POP) a 2019/1021/EK rendelet [POP rendelet] szerint.;Questa sostanza è un inquinante organico persistente (POP) secondo il Regolamento (CE) 2019/1021 [Regolamento POP].;Ši medžiaga yra patvari organinė teršėja (POP) pagal Reglamentą (EB) 2019/1021 [POP reglamentas].;Šī viela ir noturīgs organiskās piesārņotājs (POP) saskaņā ar Regulu (EK) 2019/1021 [POP regula].;Din is-sustanza hija pollutant organiku persistenti (POP) skont ir-Regolament (KE) 2019/1021 [Regolament POP].;Deze stof is een persistente organische verontreinigende stof (POP) volgens Verordening (EU) 2019/1021 [POP-verordening].;Substancja ta jest trwałym zanieczyszczeniem organicznym (POP) zgodnie z rozporządzeniem (UE) 2019/1021 [rozporządzenie POP].;Esta substância é um poluente orgânico persistente (POP) de acordo com o Regulamento (CE) 2019/1021 [Regulamento POP].;Această substanță este un poluant organic persistent (POP) conform Regulamentului (CE) 2019/1021 [Regulamentul POP].;Táto látka je perzistentný organický znečisťovateľ (POP) podľa nariadenia (ES) 2019/1021 [nariadenie o POP].;Ta snov je obstojni organski onesnaževalec (POP) v skladu z Uredbo (ES) 2019/1021 [POP Uredba].;Ämnet är en långlivad organisk förorening (POP) enligt förordning (EG) 2019/1021 [POP-förordningen].;Dette stoffet er en vedvarende organisk forurensning (POP) i henhold til forordning (EF) 2019/1021 [POP-forordningen].;Þetta efni er viðvarandi lífrænt mengunarefni (POP) samkvæmt reglugerð (EB) 2019/1021 [POP reglugerð].
Ablative;Аблативен;Ablativní;Ablativ;Ablativ;Αποτριπτική;Ablativo;Ablatiivne;Ablatiivinen;Ablatif;Ablativ;Ablatív;Ablativo;Ablatyvinis;Ablatīvs;Ablattiv;Ablatief;Ablacyjny;Ablativo;Ablativ;Ablatívny;Ablativno;Ablativ;Ablativ;Slitandi
Abrasive;Абразивен;Abrazivní;Abrasiv;Schleifmittel;Λειαντική;Abrasivo;Abrasiivne;Hioma-aine;Abrasif;Abrasiv;Csiszolóanyag;Abrasivo;Abrazyvinis;Abrazīvs;Abrasiv;Schuurmiddel;Ścierny;Abrasivo;Abrasiv;Brúsny;Abrazivno;Slipmedel;Slipemiddel;Slípiefni
Absorbent;Абсорбент;Absorbent;Absorbent;Absorbens;Απορροφητική;Absorbente;Absorbent;Imeytysaine;Absorbant;Apsorbent;Absorbens;Assorbente;Absorbentas;Absorbents;Assorbenti;Absorberend middel;Absorbent;Absorvente;Absorbant;Absorbent;Absorbent;Absorberande;Absorbent;Frásogandi
Adsorbent;Адсорбент;Adsorbent;Adsorbent;Adsorbens;Προσροφητική;Adsorbente;Adsorbent;Adsorboiva aine;Adsorbant;Adsorbent;Adszorbens;Adsorbente;Adsorbentas;Adsorbents;Adsorbenti;Adsorberend middel;Adsorbent;Adsorvente;Adsorbant;Adsorbent;Adsorbent;Adsorberande;Adsorbent;Adsorbent
Aerating and dearating agents;Аериращи и деаериращи агенти;Provzdušňovací a odplyňovací činidla;Luftnings- og afluftningsmidler;Belüftungs- und Entlüftungsmittel;Παράγοντες αερισμού και αποαερισμού;Agentes de aireación y desaireación;Aeratsiooni ja deaeratsiooni ained;Ilmastavat ja ilmasta poistavat aineet;Agents d'aération et de désaération;Sredstva za aeraciju i deaeraciju;Légtelenítő és levegőztető szerek;Agenti aeranti e deaeranti;Aeravimo ir deaeravimo agentai;Aerācijas un deaerācijas līdzekļi;Aġenti ta' aerazzjoni u dearazzjoni;Beluchtings- en ontluchtingsmiddelen;Środki napowietrzające i odgazowujące;Agentes de aeração e desareação;Agenți de aerare și dezaerare;Prevzdušňovacie a odplyňovacie činidlá;Aeracijska in dearacijska sredstva;Luftnings- och avluftningsmedel;Luftings- og avluftingsmidler;Loftun og lofttæmingarefni
Alloying element;Легиращ елемент;Legující prvek;Legeringselement;Legierungselement;Στοιχείο κραμάτωσης;Elemento de aleación;Sulamielement;Seosaine;Élément d'alliage;Legirajući element;Ötvözőelem;Elemento di lega;Lydinio elementas;Sakausējuma elements;Element ta' liga;Legeringselement;Element stopowy;Elemento de liga;Element de aliere;Legujúci prvok;Legirni element;Legeringselement;Legeringselement;Blöndunarefni
Barrier (Sealant);Бариера (Уплътнител);Bariéra (těsnicí prostředek);Barriere (tætningsmiddel);Barriere (Dichtstoff);Φράγμα (Σφραγιστικό);Barrera (Sellador);Tõke (Tihend);Este (Tiiviste);Barrière (mastic);Barijera (brtvilo);Tömítőanyag (tömítés);Barriera (sigillante);Barjeras (Sandariklis);Barjera (blīvējums);Barriera (Siġillant);Barrière (afdichtmiddel);Bariera (uszczelniacz);Barreira (Selante);Barieră (Sigilant);Bariéra (tesniaci prostriedok);Pregrada (tesnilo);Barriär (tätning);Barriere (Tetningsmiddel);Hindrun (þéttiefni)
Binder;Свързващо вещество;Pojivo;Bindemiddel;Bindemittel;Συνδετικό υλικό;Aglutinante;Sideaine;Sideaine;Liant;Vezivo;Kötőanyag;Legante;Rišiklis;Saistviela;Rabta;Bindmiddel;Środek wiążący;Aglutinante;Liant;Spojivo;Vezivo;Bindemedel;Bindemiddel;Bindiefni
Biocide;Биоцид;Biocid;Biocid;Biozid;Βιοκτόνο;Biocida;Biotsiid;Biosidi;Biocide;Biocid;Biocid;Biocida;Biocidas;Biocīds;Bijocida;Biocide;Biocyd;Biocida;Biocid;Biocíd;Biocid;Biocid;Biocid;Sýklalyf
Bleaching agent;Избелващ агент;Bělicí prostředek;Blegemiddel;Bleichmittel;Λευκαντικός παράγοντας;Agente blanqueador;Pleegitusaine;Valkaisuaine;Agent de blanchiment;Sredstvo za izbjeljivanje;Fehérítőszer;Agente sbiancante;Baliklis;Balinošs līdzeklis;Aġent tal-ibbliċjar;Bleekmiddel;Środek wybielający;Agente de branqueamento;Agent de înălbire;Bieliaci prostriedok;Belilno sredstvo;Blekmedel;Blekemiddel;Hvíttunarefni
